measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,2,Percent,2021,0.0001283573566491,0.0001458254022801,0.000111547240756
6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,3,Rate,2021,72.31452481254,81.15743776344,63.57626151899
6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,1,Number,1990,15901.03131044712,18563.38511337195,13408.58508968979
6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,2,Percent,1990,0.0005201038632771,0.0006173872486882,0.0004348646449594
6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,3,Rate,1990,327.81328163722,382.69996917193004,276.42938338692
6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,1,Number,1991,16401.530008944686,19167.73368521504,13850.751812064642
6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,2,Percent,1991,0.0005193200662531,0.000613980132661,0.0004363484400607
6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,3,Rate,1991,326.78494754737,381.89893525232,275.96310843737
6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,1,Number,1992,16534.989651179167,19374.458007568428,13947.833773458571
6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,2,Percent,1992,0.0005073481220431,0.0005982077535492,0.0004264920151714
6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,3,Rate,1992,318.52490467860997,373.22354112393,268.68673745116
6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,1,Number,1993,16897.201662637926,19873.43580362389,14273.36061675867
6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,2,Percent,1993,0.0005029917991717,0.0005926320431258,0.0004220639220777
6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,3,Rate,1993,314.88269238721,370.34540379939,265.98689594599
6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,1,Number,1994,17649.40251276183,20836.451699357454,14956.443164721364
6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,2,Percent,1994,0.0005101403549745,0.0006042503950765,0.0004261092025307
6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,3,Rate,1994,318.34691296978997,375.832556991,269.77329725776
6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,1,Number,1995,17506.698541071095,20630.85800046945,14805.26930897956
