,Number,Date,Temperature Max
291,292,2100-10-19,26.287438964843773
292,293,2100-10-20,24.433343505859398
293,294,2100-10-21,25.440606689453148
294,295,2100-10-22,19.462731933593773
295,296,2100-10-23,12.114099121093773
296,297,2100-10-24,11.605981445312523
297,298,2100-10-25,11.677270507812523
298,299,2100-10-26,14.413171386718773
299,300,2100-10-27,17.451654052734398
300,301,2100-10-28,17.963830566406273
301,302,2100-10-29,18.525323486328148
302,303,2100-10-30,20.170556640625023
303,304,2100-10-31,18.977197265625023
304,305,2100-11-01,20.331567382812523
305,306,2100-11-02,16.783715820312523
306,307,2100-11-03,20.326623535156273
307,308,2100-11-04,22.983331298828148
308,309,2100-11-05,23.427667236328148
309,310,2100-11-06,23.308435058593773
310,311,2100-11-07,23.269250488281273
311,312,2100-11-08,16.927850341796898
312,313,2100-11-09,10.824426269531273
313,314,2100-11-10,7.447656250000023
314,315,2100-11-11,8.747766113281273
315,316,2100-11-12,7.860498046875023
316,317,2100-11-13,14.840783691406273
317,318,2100-11-14,13.607446289062523
318,319,2100-11-15,11.415490722656273
319,320,2100-11-16,11.474145507812523
320,321,2100-11-17,14.135095214843773
321,322,2100-11-18,17.587731933593773
322,323,2100-11-19,15.762078857421898
323,324,2100-11-20,13.727197265625023
324,325,2100-11-21,18.277307128906273
325,326,2100-11-22,18.215509033203148
326,327,2100-11-23,14.216729736328148
327,328,2100-11-24,13.612023925781273
328,329,2100-11-25,15.951409912109398
329,330,2100-11-26,19.981683349609398
330,331,2100-11-27,21.888024902343773
331,332,2100-11-28,21.740563964843773
332,333,2100-11-29,11.134027099609398
333,334,2100-11-30,14.994226074218773
334,335,2100-12-01,15.720056152343773
335,336,2100-12-02,20.322717285156273
336,337,2100-12-03,21.321069335937523
337,338,2100-12-04,20.808221435546898
338,339,2100-12-05,18.201165771484398
339,340,2100-12-06,19.747918701171898
340,341,2100-12-07,11.649194335937523
341,342,2100-12-08,16.021783447265648
342,343,2100-12-09,15.633813476562523
343,344,2100-12-10,18.679132080078148
344,345,2100-12-11,21.177575683593773
345,346,2100-12-12,19.638269042968773
346,347,2100-12-13,21.167382812500023
347,348,2100-12-14,13.763574218750023
348,349,2100-12-15,19.242425537109398
349,350,2100-12-16,20.943658447265648
350,351,2100-12-17,12.498223876953148
351,352,2100-12-18,7.366754150390648
352,353,2100-12-19,7.820642089843773
353,354,2100-12-20,-3.3635009765624773
354,355,2100-12-21,-4.573980712890602
355,356,2100-12-22,-5.416479492187477
356,357,2100-12-23,4.772882080078148
357,358,2100-12-24,19.703057861328148
358,359,2100-12-25,19.376580810546898
359,360,2100-12-26,14.792749023437523
360,361,2100-12-27,14.499078369140648
361,362,2100-12-28,16.561975097656273
362,363,2100-12-29,4.558770751953148
363,364,2100-12-30,15.108789062500023
364,365,2100-12-31,12.930352783203148
