,Number,Date,Temperature Max
66,67,2100-03-08,15.155633544921898
67,68,2100-03-09,12.029260253906273
68,69,2100-03-10,23.122216796875023
69,70,2100-03-11,23.203454589843773
70,71,2100-03-12,16.264886474609398
71,72,2100-03-13,20.213159179687523
72,73,2100-03-14,18.095544433593773
73,74,2100-03-15,15.091699218750023
74,75,2100-03-16,22.990686035156273
75,76,2100-03-17,14.828698730468773
76,77,2100-03-18,13.062585449218773
77,78,2100-03-19,21.940606689453148
78,79,2100-03-20,20.334497070312523
79,80,2100-03-21,18.081353759765648
80,81,2100-03-22,20.806146240234398
81,82,2100-03-23,21.327722167968773
82,83,2100-03-24,14.818261718750023
83,84,2100-03-25,10.529473876953148
84,85,2100-03-26,16.565057373046898
85,86,2100-03-27,14.393121337890648
86,87,2100-03-28,10.414971923828148
87,88,2100-03-29,14.120324707031273
88,89,2100-03-30,13.640161132812523
89,90,2100-03-31,17.577478027343773
90,91,2100-04-01,22.029107666015648
91,92,2100-04-02,22.249963378906273
92,93,2100-04-03,25.814538574218773
93,94,2100-04-04,28.615319824218773
94,95,2100-04-05,28.023858642578148
95,96,2100-04-06,26.579370117187523
96,97,2100-04-07,24.277673339843773
97,98,2100-04-08,24.823266601562523
98,99,2100-04-09,23.563378906250023
99,100,2100-04-10,26.166162109375023
100,101,2100-04-11,28.517846679687523
101,102,2100-04-12,27.863092041015648
102,103,2100-04-13,29.562249755859398
103,104,2100-04-14,28.265405273437523
104,105,2100-04-15,21.893121337890648
105,106,2100-04-16,20.121453857421898
106,107,2100-04-17,19.643487548828148
107,108,2100-04-18,20.679833984375023
108,109,2100-04-19,32.04128417968752
109,110,2100-04-20,33.8034606933594
110,111,2100-04-21,30.975946044921898
111,112,2100-04-22,26.471398925781273
112,113,2100-04-23,26.422784423828148
113,114,2100-04-24,28.732904052734398
114,115,2100-04-25,24.312341308593773
115,116,2100-04-26,25.800042724609398
116,117,2100-04-27,28.542077636718773
117,118,2100-04-28,26.009393310546898
118,119,2100-04-29,23.428918457031273
119,120,2100-04-30,23.558251953125023
120,121,2100-05-01,22.118585205078148
121,122,2100-05-02,27.441735839843773
122,123,2100-05-03,28.484735107421898
123,124,2100-05-04,30.563256835937523
124,125,2100-05-05,34.08431396484377
125,126,2100-05-06,29.700585937500023
126,127,2100-05-07,28.436059570312523
127,128,2100-05-08,30.879388427734398
128,129,2100-05-09,28.159173583984398
129,130,2100-05-10,28.918420410156273
130,131,2100-05-11,26.945001220703148
131,132,2100-05-12,25.742517089843773
132,133,2100-05-13,22.590814208984398
133,134,2100-05-14,24.769097900390648
134,135,2100-05-15,23.532647705078148
135,136,2100-05-16,25.690820312500023
136,137,2100-05-17,28.695031738281273
137,138,2100-05-18,36.10097656250002
138,139,2100-05-19,34.29915771484377
139,140,2100-05-20,28.591333007812523
140,141,2100-05-21,30.747705078125023
141,142,2100-05-22,28.999963378906273
142,143,2100-05-23,26.670129394531273
143,144,2100-05-24,29.792443847656273
144,145,2100-05-25,31.072259521484398
145,146,2100-05-26,30.754907226562523
146,147,2100-05-27,29.764916992187523
147,148,2100-05-28,28.172174072265648
148,149,2100-05-29,29.225793457031273
149,150,2100-05-30,32.65157470703127
150,151,2100-05-31,35.7408386230469
151,152,2100-06-01,39.09148559570315
152,153,2100-06-02,34.32076416015627
153,154,2100-06-03,38.1381774902344
154,155,2100-06-04,35.8522888183594
155,156,2100-06-05,32.7861267089844
156,157,2100-06-06,36.33904418945315
157,158,2100-06-07,33.67159423828127
158,159,2100-06-08,29.472100830078148
159,160,2100-06-09,29.267663574218773
160,161,2100-06-10,32.39754638671877
161,162,2100-06-11,30.342187500000023
162,163,2100-06-12,29.888879394531273
163,164,2100-06-13,28.084008789062523
164,165,2100-06-14,30.090600585937523
165,166,2100-06-15,31.283380126953148
166,167,2100-06-16,33.62114868164065
167,168,2100-06-17,31.644219970703148
168,169,2100-06-18,34.06203613281252
169,170,2100-06-19,33.52410278320315
170,171,2100-06-20,37.1644226074219
171,172,2100-06-21,37.21453247070315
172,173,2100-06-22,32.72734985351565
173,174,2100-06-23,32.26656494140627
174,175,2100-06-24,33.24404296875002
175,176,2100-06-25,31.555291748046898
176,177,2100-06-26,29.713098144531273
177,178,2100-06-27,31.474084472656273
178,179,2100-06-28,33.81740722656252
179,180,2100-06-29,35.44088134765627
180,181,2100-06-30,36.3820739746094
181,182,2100-07-01,37.18193969726565
182,183,2100-07-02,37.89373168945315
183,184,2100-07-03,38.26156005859377
184,185,2100-07-04,39.11028442382815
185,186,2100-07-05,37.93618164062502
186,187,2100-07-06,39.7246032714844
187,188,2100-07-07,44.42543945312502
188,189,2100-07-08,42.7174011230469
189,190,2100-07-09,35.54107055664065
190,191,2100-07-10,33.6071716308594
191,192,2100-07-11,34.68312988281252
192,193,2100-07-12,36.1520935058594
193,194,2100-07-13,35.0372253417969
194,195,2100-07-14,37.40676269531252
195,196,2100-07-15,37.42949829101565
196,197,2100-07-16,35.21428833007815
197,198,2100-07-17,33.3824401855469
198,199,2100-07-18,30.072320556640648
199,200,2100-07-19,32.20125732421877
200,201,2100-07-20,36.33440551757815
201,202,2100-07-21,34.87453613281252
202,203,2100-07-22,34.11794433593752
203,204,2100-07-23,34.3198181152344
204,205,2100-07-24,35.3006530761719
205,206,2100-07-25,33.70305786132815
206,207,2100-07-26,36.0394226074219
207,208,2100-07-27,36.82796630859377
208,209,2100-07-28,34.61660156250002
209,210,2100-07-29,35.2247253417969
210,211,2100-07-30,36.4301696777344
211,212,2100-07-31,36.61440429687502
212,213,2100-08-01,33.97356567382815
213,214,2100-08-02,34.99788818359377
214,215,2100-08-03,35.28911743164065
215,216,2100-08-04,35.7717224121094
216,217,2100-08-05,36.04818115234377
217,218,2100-08-06,33.6516052246094
218,219,2100-08-07,32.05385742187502
219,220,2100-08-08,32.27303466796877
220,221,2100-08-09,33.5997253417969
221,222,2100-08-10,37.71047363281252
222,223,2100-08-11,35.2231384277344
223,224,2100-08-12,31.458978271484398
224,225,2100-08-13,32.01726684570315
225,226,2100-08-14,32.27095947265627
226,227,2100-08-15,30.902001953125023
227,228,2100-08-16,29.818017578125023
228,229,2100-08-17,34.42586669921877
229,230,2100-08-18,35.49416503906252
230,231,2100-08-19,35.14376220703127
231,232,2100-08-20,33.7785583496094
232,233,2100-08-21,33.57805786132815
233,234,2100-08-22,35.71962890625002
234,235,2100-08-23,37.25106201171877
235,236,2100-08-24,38.77016601562502
236,237,2100-08-25,39.8868347167969
237,238,2100-08-26,34.6138854980469
238,239,2100-08-27,33.74883422851565
239,240,2100-08-28,34.04998168945315
240,241,2100-08-29,34.9377380371094
241,242,2100-08-30,35.64006958007815
242,243,2100-08-31,36.88924560546877
243,244,2100-09-01,37.25832519531252
244,245,2100-09-02,37.70220336914065
245,246,2100-09-03,37.33989868164065
246,247,2100-09-04,38.78118286132815
247,248,2100-09-05,38.12923583984377
248,249,2100-09-06,39.87593994140627
249,250,2100-09-07,35.55983886718752
250,251,2100-09-08,32.00249633789065
251,252,2100-09-09,30.095910644531273
252,253,2100-09-10,32.1009460449219
253,254,2100-09-11,32.84954223632815
254,255,2100-09-12,29.128289794921898
255,256,2100-09-13,28.390252685546898
256,257,2100-09-14,29.173272705078148
257,258,2100-09-15,31.323052978515648
258,259,2100-09-16,29.330957031250023
259,260,2100-09-17,30.271356201171898
260,261,2100-09-18,27.538171386718773
261,262,2100-09-19,28.552270507812523
262,263,2100-09-20,31.175958251953148
263,264,2100-09-21,33.47060546875002
264,265,2100-09-22,32.91912231445315
265,266,2100-09-23,32.67611083984377
266,267,2100-09-24,33.23012695312502
267,268,2100-09-25,35.12709960937502
268,269,2100-09-26,34.99337158203127
269,270,2100-09-27,31.586236572265648
270,271,2100-09-28,26.558953857421898
271,272,2100-09-29,31.574639892578148
272,273,2100-09-30,29.115899658203148
273,274,2100-10-01,29.016442871093773
274,275,2100-10-02,27.247003173828148
275,276,2100-10-03,26.109399414062523
276,277,2100-10-04,25.723809814453148
277,278,2100-10-05,25.682183837890648
278,279,2100-10-06,28.299645996093773
279,280,2100-10-07,28.535974121093773
280,281,2100-10-08,23.583642578125023
281,282,2100-10-09,25.960107421875023
282,283,2100-10-10,23.257165527343773
283,284,2100-10-11,21.825341796875023
284,285,2100-10-12,20.601861572265648
285,286,2100-10-13,22.607110595703148
286,287,2100-10-14,24.880700683593773
287,288,2100-10-15,23.696099853515648
288,289,2100-10-16,22.854150390625023
289,290,2100-10-17,22.866021728515648
290,291,2100-10-18,24.779565429687523
291,292,2100-10-19,25.154992675781273
292,293,2100-10-20,25.579034423828148
293,294,2100-10-21,23.432977294921898
294,295,2100-10-22,22.662805175781273
295,296,2100-10-23,24.101312255859398
296,297,2100-10-24,27.415612792968773
297,298,2100-10-25,24.169732666015648
298,299,2100-10-26,28.431604003906273
299,300,2100-10-27,26.579736328125023
300,301,2100-10-28,22.433099365234398
301,302,2100-10-29,24.400170898437523
302,303,2100-10-30,27.218103027343773
303,304,2100-10-31,26.214471435546898
304,305,2100-11-01,21.545922851562523
305,306,2100-11-02,19.163995361328148
306,307,2100-11-03,21.712518310546898
307,308,2100-11-04,27.492639160156273
308,309,2100-11-05,26.863031005859398
309,310,2100-11-06,15.079095458984398
310,311,2100-11-07,18.195977783203148
311,312,2100-11-08,20.779748535156273
312,313,2100-11-09,20.103021240234398
313,314,2100-11-10,22.293969726562523
314,315,2100-11-11,21.050317382812523
315,316,2100-11-12,23.652032470703148
316,317,2100-11-13,26.905175781250023
317,318,2100-11-14,26.143121337890648
318,319,2100-11-15,25.061181640625023
319,320,2100-11-16,24.876367187500023
320,321,2100-11-17,21.328485107421898
321,322,2100-11-18,19.488122558593773
322,323,2100-11-19,21.434136962890648
323,324,2100-11-20,19.011132812500023
324,325,2100-11-21,13.526452636718773
325,326,2100-11-22,15.972680664062523
326,327,2100-11-23,15.559014892578148
327,328,2100-11-24,15.408837890625023
328,329,2100-11-25,18.156335449218773
329,330,2100-11-26,18.741113281250023
330,331,2100-11-27,17.683374023437523
331,332,2100-11-28,16.325524902343773
332,333,2100-11-29,16.611810302734398
333,334,2100-11-30,23.597497558593773
334,335,2100-12-01,21.299279785156273
335,336,2100-12-02,20.381555175781273
336,337,2100-12-03,23.727746582031273
337,338,2100-12-04,16.072412109375023
338,339,2100-12-05,16.625299072265648
339,340,2100-12-06,18.310845947265648
340,341,2100-12-07,18.314355468750023
341,342,2100-12-08,17.407800292968773
342,343,2100-12-09,16.260919189453148
343,344,2100-12-10,20.831903076171898
344,345,2100-12-11,18.249871826171898
345,346,2100-12-12,13.637994384765648
346,347,2100-12-13,10.886163330078148
347,348,2100-12-14,9.735711669921898
348,349,2100-12-15,5.906884765625023
349,350,2100-12-16,11.331170654296898
350,351,2100-12-17,9.162530517578148
351,352,2100-12-18,12.512780761718773
352,353,2100-12-19,12.651788330078148
353,354,2100-12-20,9.125604248046898
354,355,2100-12-21,8.640008544921898
355,356,2100-12-22,1.3065429687500227
356,357,2100-12-23,8.246667480468773
357,358,2100-12-24,7.331201171875023
358,359,2100-12-25,3.3189636230468977
359,360,2100-12-26,13.280389404296898
360,361,2100-12-27,13.793969726562523
361,362,2100-12-28,12.047265625000023
362,363,2100-12-29,12.103692626953148
363,364,2100-12-30,10.936547851562523
364,365,2100-12-31,5.400506591796898
